;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81
0;1.068;1.085173500986133;1.0828287922721704;1.0884541805455132;1.0891704144081706;1.0973216045420926;1.0888927880717238;1.0884390071802692;1.082828153619734;1.0982852348015864;1.083340191657152;1.0837461229935597;1.0968025481226449;1.0850744799317662;1.1033972603985227;1.090118291549669;1.0943114551536735;1.0937609453366768;1.1148445238265707;1.0891586843366152;1.0977136659539044;1.0958166329417276;1.0942919638667281;1.088088248437095;1.0908425653046314;1.087730425168434;1.0897166744488433;1.0856287418037673;1.0852301868133312;1.0856045882389969;1.090647137994386;1.0870916103090102;1.0874448047847787;1.085235416073764;1.0881034721335436;1.0857633922384071;1.0872740330348152;1.0849711027605304;1.0853325916539782;1.0852247273453983;1.088458487357974;1.0884405120691063;1.089913979856012;1.0898432970461962;1.1020030343828175;1.0891661734359397;1.095495501774068;1.0908432198873668;1.0897201635043379;1.0970999504199654;1.0856015107640604;1.1001408774335277;1.0896024726580875;1.0886424619792596;1.088104276251194;1.107969760146831;1.084734735157053;1.0959991279935846;1.0893137220523326;1.0909572771472906;1.0902272471290895;1.093031708883292;1.0946778469256544;1.1050908288781915;1.0891665128479728;1.0856160094915317;1.083936499033865;1.0924511531204577;1.0867360212102348;1.0851082613457357;1.0853049446567853;1.090981560658434;1.0925848178454858;1.0888612067878936;1.0854616800489274;1.1183753369933425;1.0843965522358885;1.096729674192417;1.0854173452684102;1.0886416826042997;1.095027667460562;1.0850899351920813
1;1.068;1.08281782066647;1.080524005667497;1.0856989677834337;1.0863799198815332;1.094431864573419;1.086193604051994;1.0858006320544216;1.0805219041552756;1.0951456006182858;1.0810037253404279;1.0814033617827818;1.093503580290025;1.0826563135692213;1.1003932830650105;1.0870270961365156;1.0910392666809001;1.090260251009185;1.110936949852588;1.0856483372721488;1.0948005363931546;1.092558092371443;1.091170728930663;1.0857232389066822;1.088055852260662;1.0850981131735942;1.0868677204245472;1.083230346505968;1.0828747329885013;1.0832420074590825;1.0877390184961657;1.0846006839663074;1.0849295033638338;1.0828796522965665;1.0854276058311436;1.083336878703912;1.0847610742301634;1.0826140798594788;1.0829805807471415;1.082868955579279;1.0856998105766589;1.0857220737770248;1.0868249478264833;1.087120093569781;1.098864046290703;1.0856878855579544;1.092269271682203;1.0880570620995884;1.0868752360413616;1.0937761036907112;1.0832391770706495;1.097184445435896;1.086815305276681;1.0859033605023887;1.0854293186833412;1.1049162878382472;1.0823728923971085;1.0927176773835028;1.0865337737872016;1.088029189669049;1.0874949250180597;1.0899990976000282;1.0915272164398908;1.1015440195264716;1.0865872050240104;1.0832180818941057;1.0816059284146506;1.0894708463383098;1.084270522702062;1.0827519778303043;1.0829481800368805;1.0880529182378165;1.0895921421777952;1.08610662746875;1.083066227172294;1.1144402212851794;1.0819853767169403;1.0934101753090493;1.083062623222035;1.0859017840376488;1.091864038755929;1.0827380367190045
2;1.068;1.083135718561089;1.08088087104788;1.0860582300365538;1.0867127143854205;1.0947849828488012;1.0865434136664627;1.0861515361781562;1.0808795484100182;1.0954244587278485;1.0813538939669347;1.0817414053896823;1.0935676063228694;1.0829773545810413;1.100752513499884;1.087345074413798;1.0911705298308068;1.0903503622437067;1.111038473492915;1.085932888029745;1.0951656599943984;1.0926480147898077;1.0913178927969576;1.0860734402805363;1.0882581575431851;1.085446882636664;1.0871880966791525;1.0835462164480658;1.0831986918440677;1.083588895687875;1.0880242391813948;1.084879468691452;1.0851994640178315;1.0832039344775506;1.0857763145617143;1.083637029908343;1.0850351985037294;1.0829305672311171;1.0833082004688135;1.083191044452425;1.0860609091931401;1.0860691047105557;1.0871420439583244;1.0874718332011781;1.0991770533706804;1.085962824665621;1.0923696163650818;1.0882590718909777;1.0871944023381732;1.0938355734507565;1.0835858052347236;1.0975321400120572;1.0871778652104431;1.0862472069460567;1.0857775436586625;1.105276902113809;1.0826976652482345;1.0928428203465108;1.0868927902415138;1.0883020782509352;1.0878471207354758;1.09017321881749;1.0916675503764024;1.1017424921657795;1.0868105612688026;1.083533474745812;1.0819428266029956;1.0896538873101929;1.0845561642861308;1.0830695251088593;1.0832535571753676;1.0883239634017696;1.0897733017972833;1.0864526243590809;1.0833792763456276;1.1145356915799631;1.0823403714931406;1.0934866621988166;1.0834117922267015;1.0862460548103652;1.091992023184461;1.0830659274580288
3;1.068;1.085062126627326;1.0826435697466805;1.088347057052498;1.0890361761138188;1.0971249590983378;1.0887842775784755;1.0883163115926084;1.082644036062583;1.0982385294388568;1.0831532022543704;1.0835619894379354;1.0961544475362957;1.0848938602784657;1.1031568199739894;1.0902272990444528;1.0941499333002005;1.0937328060766722;1.114907470191595;1.089491671492575;1.0975337925947448;1.095254548154414;1.0938767044180677;1.0879339044261398;1.0905900508372037;1.0876061024855268;1.0895708056164863;1.0854796381353249;1.0851154255999254;1.0854611721099212;1.0904649914615345;1.086922950493718;1.0872699667461383;1.0851213175062453;1.0879814486511565;1.0855904834664336;1.0871014623175241;1.0848507752678131;1.0852068429756787;1.0851116001632748;1.0883539652646068;1.0883187152379876;1.090022198307901;1.0897271978503524;1.101592680615584;1.089488214291349;1.0949606742108429;1.0905902858832286;1.0895729176610114;1.0964399958464277;1.085457561255147;1.0998983348293565;1.0895546918551264;1.0885182333242607;1.0879815663232155;1.1077045676831412;1.084583682701138;1.0958156331306166;1.0892610601967705;1.0907621529196627;1.090107615841293;1.0927035044965205;1.094240943699994;1.1051357728198004;1.0889620622215292;1.0854659319569162;1.0837822981731002;1.0921591603638117;1.0865692921193015;1.084994064756939;1.0852141339640222;1.0907848987611901;1.0922847256592205;1.0887903089998943;1.0853068855507262;1.1184036788953542;1.0842308526635762;1.0961285473743176;1.0852667574847419;1.0885180560878722;1.0945704859954906;1.0849649326149884
4;1.068;1.0846149591898426;1.082273067837085;1.0877232950870772;1.0883876967678272;1.0963989119125133;1.088204879473628;1.0877721132727267;1.082272564459408;1.0975038177714276;1.0827651239865033;1.083158566228677;1.0952199098327788;1.0844407878815807;1.1023427697248067;1.0894454763432744;1.0932181786583621;1.0926926295812447;1.1138232818607618;1.088491987215402;1.0967926816747802;1.0943613729749937;1.0930260833927443;1.0875088653614837;1.0898930146315218;1.0870670136178882;1.0888815887200942;1.085018484226176;1.0846718911189182;1.085039701419239;1.089734152921533;1.086394537812853;1.0867246721402006;1.0846773858694267;1.087412334147209;1.0851076595091238;1.0865614771751329;1.0844049117228638;1.0847711612869846;1.0846665262155408;1.0877279149997878;1.0877202270864867;1.089242153808276;1.0891299215451669;1.1006637640021095;1.0885106919544882;1.0940763605464991;1.0898936180489247;1.088886490416902;1.095497478521487;1.0850364096860727;1.0991184693483365;1.0889276329185336;1.0879054555222034;1.0874130542970761;1.1068497201931993;1.0841505941839995;1.094872949359892;1.0886384612325644;1.0900172045539258;1.0895034788465774;1.0918929279123648;1.0933800074102804;1.1042245589078548;1.0883488469102356;1.0850053647548044;1.083375782390375;1.0913747836811518;1.0860608980569724;1.0845471792542756;1.0847542988340337;1.090038542171796;1.0914941096975377;1.0881840004338172;1.0848492066949869;1.1172920653001739;1.083806387295528;1.095207856827303;1.084852460544318;1.0879047497740746;1.093699493032187;1.084529476799597
5;1.068;1.0838306999523317;1.0815591519603116;1.086803037255242;1.0874673805867867;1.0954540764154606;1.0872933126621627;1.0868939512636158;1.081557539821065;1.096483157874742;1.0820411115983721;1.0824307408580216;1.0943404230118552;1.0836836348172425;1.1014318266857681;1.088198766886424;1.0921482694660583;1.091419850530535;1.1127700187563019;1.0869110098792314;1.095830575623911;1.0934700513538054;1.092114858387788;1.0867260816499313;1.0890334368497243;1.0861964043590961;1.0879471553556488;1.0842453289241456;1.0838891916086255;1.0842678478610623;1.088796199392725;1.0856025825414168;1.0859268572920322;1.0838940051561727;1.0865253620946935;1.0843424290357453;1.085763816054021;1.0836296795710805;1.0839962181287457;1.0838828035155899;1.0868050391925086;1.086818663504731;1.0879979719480115;1.08821261799909;1.09970826357689;1.0869447312526985;1.0931827386905157;1.0890344612965042;1.0879539412905677;1.094615868654471;1.0842651035967488;1.0981715768707725;1.0879408679497165;1.086997905320549;1.0865267711379014;1.1060420854445114;1.0833931052750747;1.093864695238132;1.0876568759230958;1.0890785436527373;1.0885843006485565;1.090977451763373;1.092468454564173;1.1031101149640523;1.0875393191801828;1.084233215220007;1.0826302630120164;1.090462726865717;1.0852769675440765;1.0837657577338968;1.083953953241506;1.089100462490353;1.0905810253265187;1.087221170195401;1.0840820076474087;1.116347469272879;1.08304176106009;1.0943123958683698;1.0840882523908604;1.086996595282993;1.0927913635761508;1.0837551966425356
6;1.068;1.0843569168153777;1.0820816618675368;1.0874634734840747;1.0881378894649574;1.0961963994647523;1.087941106149703;1.0875223760617672;1.082080821565448;1.0973577333725923;1.0825696303581613;1.0829603880055785;1.09512753573102;1.0842315349386833;1.1022946038283825;1.0888974422456161;1.092995130823233;1.092297125935568;1.1142513865959633;1.0876694961414048;1.0965849542910657;1.0942295258379016;1.0928614592947163;1.087249502374014;1.0896880779544078;1.086824918609497;1.088631339106564;1.0847899773671617;1.0844171249431362;1.0848003503288615;1.0894949409591799;1.0861673225446817;1.0865003059165637;1.0844223136889517;1.087166033688504;1.084893374809508;1.0863358579280815;1.0841579980730707;1.0845217619779504;1.0844104094963416;1.0874672979988536;1.0874706525752098;1.0886964496726577;1.088872215532432;1.1005521870141375;1.087697418522696;1.0939403351476138;1.0896888092740584;1.0886373966672498;1.095405132460557;1.0847973045661083;1.0989500081950916;1.0886111045590638;1.0876555353946424;1.087166963166649;1.107051953636998;1.0839258321789575;1.094777125486989;1.0883235141995593;1.0897816949843278;1.0892483739577814;1.0917034035628748;1.0932194747579087;1.10422246317731;1.0881404575734148;1.0847773088754062;1.0831544184356185;1.09117697468492;1.0858345860167329;1.0842928641011338;1.0844758036021003;1.0898038008315782;1.0912981340888293;1.0878747642563853;1.0846233606896702;1.117956931827287;1.0835985814209235;1.095083486834269;1.0846187041498292;1.087654646031886;1.0935458844225243;1.084281478537891
7;1.068;1.0845706334216159;1.0821650162510275;1.0878503974390412;1.0885663793200053;1.0966545078830794;1.0882826552550682;1.0878204060505312;1.0821647722913628;1.0980576414405543;1.0826777071912304;1.0830945646459835;1.0959121785018395;1.08443591500312;1.1028797733158269;1.0895215220404793;1.0939595885484246;1.0934420091778732;1.115878339143531;1.0886116210898744;1.0970523456890846;1.0949875006479524;1.0935762357124428;1.0873809121835274;1.0902427228273506;1.087123625477567;1.0891120706377855;1.0850143313673823;1.084621426635222;1.0849516676173456;1.090040998421652;1.0864901819813404;1.0868485787320676;1.0846270441250943;1.0874976927107147;1.0851482388445637;1.0866759142647295;1.0843710302867822;1.0847102658295205;1.084618272546828;1.0878556308071714;1.0878358478523946;1.0893206031412954;1.0892275284661461;1.1011746281740393;1.0886196149016096;1.0946886838205834;1.0902432272454008;1.0891156223104803;1.0961982351776398;1.0849482772364867;1.0994559075305024;1.0890052597948934;1.0880382934756165;1.0874982513302711;1.107779846798328;1.0841110029346706;1.0958061811267445;1.088714916619395;1.0903502024665777;1.0896090404996643;1.0923859671972647;1.0939435219122247;1.1053405223275212;1.0885935715182053;1.085001030763191;1.0832990915609015;1.0918378417962766;1.0861293633290618;1.0845065264363387;1.0847166086896114;1.0903746729457158;1.0919641222543053;1.0882561280370213;1.0848439934293093;1.1197086423745792;1.0837501023951512;1.0958663712902725;1.084757666084864;1.0880377294892505;1.0942805344533397;1.084470700759489
8;1.068;1.0849020356509946;1.0824488183430387;1.0882773584986514;1.089025437790638;1.0971296255327068;1.0886924387840737;1.0882123600523528;1.0824489957072423;1.0987279381970496;1.0829758579860969;1.083404320278288;1.0966830432691845;1.084781225544648;1.1034568907080176;1.0900045682597095;1.0947404184529397;1.0942786525541457;1.1172512512845278;1.0891773993486817;1.0975340668934241;1.095735366203323;1.0942582036126334;1.0876755815326054;1.0907942178121537;1.087517081547617;1.0895977584144583;1.085362467680173;1.084949179076184;1.0852605977940004;1.0905708891127426;1.086891307321866;1.0872644438292307;1.0849549655104251;1.0879068288928602;1.0855141162863675;1.0870874866320415;1.0847040326357962;1.0850313853916476;1.0849474099529512;1.0882835870358134;1.0882607596787206;1.089803984382858;1.0896451708391834;1.1017232101315426;1.0891848264251982;1.0954224906905856;1.090794562176449;1.0896012403095332;1.096978972033244;1.0852570718557837;1.0999581957903084;1.0894338261356864;1.088472764363019;1.0879071257599722;1.1084952185768224;1.0844382437934743;1.0966511494398448;1.0891415032112943;1.090894711518923;1.0900297070105247;1.09302824277942;1.0946379067865253;1.1062955061249653;1.0890683436325979;1.085348916652297;1.0836062759585692;1.0924614570015272;1.0865168667004326;1.0848385560829754;1.0850567940424514;1.0909205223637315;1.0925921245541945;1.0886755694033958;1.0851906336074222;1.121204251596397;1.0840688336762798;1.0966394026474324;1.0850615381737603;1.0884724299836237;1.0949845190977818;1.0847925457923444
9;1.068;1.085012610866848;1.0825164686863897;1.0884855070996693;1.0892526030924548;1.0975177610597022;1.088911166859137;1.0884190202679602;1.08251636262378;1.0991770295463015;1.0830537509901186;1.0834927407940436;1.0971723058954717;1.0848982672372505;1.1039231015728532;1.0903515759049778;1.0951721480105712;1.094767690502376;1.1180407666977685;1.0896094159310268;1.0979180417495635;1.0961829953999613;1.094650309809353;1.0878546778329063;1.0910767769678948;1.087706384412593;1.089842544138633;1.0854809580726554;1.085057072581361;1.0853728494986672;1.0908441641626219;1.0870570760987701;1.0874426947987677;1.0850627261033956;1.0881049326357752;1.0856514351196727;1.087261746662225;1.084815346541078;1.085141611725212;1.08505614042555;1.0884910707117972;1.0884674919580204;1.09014593390234;1.0898817201493993;1.102277028695054;1.0896143884508547;1.0958600589689238;1.0910772287395687;1.0898457184523975;1.0974731708470082;1.085369430646428;1.100410030457909;1.0896592600717356;1.088684769315302;1.0881054053103796;1.1089972535535748;1.0845425788157632;1.0971029573206967;1.089368128140825;1.0911780592815272;1.0902736227081915;1.0933838116157721;1.0950385029623924;1.1069189671598398;1.089298514348192;1.0854676019202714;1.0836942893305714;1.0927994636209546;1.0866703250433944;1.084949331104895;1.0851728682786057;1.0912049228421228;1.0929341105439674;1.0889067689519105;1.0853102551439935;1.12202886094512;1.0841747700725128;1.0971055512025336;1.0851729009837392;1.0886842807320793;1.0953959076486437;1.084898566769682
